time,flux,flux0,scanD,orbit,weights
0.0,668261537.954,24436.385765995088,1.0,0.0,1.0
152.92799770832062,672770009.832,24601.24750315754,0.0,0.0,1.0
305.85599541664124,673234050.489,24618.216123767183,1.0,0.0,1.0
459.6479997038841,675621567.806,24705.520705682567,0.0,0.0,1.0
612.5759974122047,675293158.528,24693.511731126124,1.0,0.0,1.0
765.5039951205254,676982404.006,24755.2825376284,0.0,0.0,1.0
918.431992828846,676441497.946,24735.50317222336,1.0,0.0,1.0
1071.3599905371666,677740949.352,24783.02034033452,0.0,0.0,1.0
1224.2879882454872,677138538.667,24760.99192922278,1.0,0.0,1.0
1377.2159859538078,678352290.745,24805.37532152917,0.0,0.0,1.0
1530.1439836621284,677643711.226,24779.464624161814,1.0,0.0,1.0
1683.071981370449,678730731.338,24819.213796130556,0.0,0.0,1.0
1835.9999790787697,677994752.109,24792.30117085712,1.0,0.0,1.0
1988.9279767870903,678990220.626,24828.702566594777,0.0,0.0,1.0
2141.856014728546,678300855.55,24803.494485665386,1.0,0.0,1.0
2295.647978782654,679242862.039,24837.940930136443,0.0,0.0,1.0
2448.5759764909744,678516947.581,24811.396344339824,1.0,0.0,1.0
5487.263980507851,677313536.85,24767.391105092196,1.0,1.0,1.0
5640.191978216171,678564236.054,24813.12554661002,0.0,1.0,1.0
5793.119975924492,677953380.491,24790.78833080904,1.0,1.0,1.0
5946.048013865948,678883520.165,24824.800840282067,0.0,1.0,1.0
6098.976011574268,678225811.773,24800.75035244814,1.0,1.0,1.0
6251.904009282589,679162290.617,24834.99466697766,0.0,1.0,1.0
6404.83200699091,678482433.203,24810.13425366517,1.0,1.0,1.0
6558.6240112781525,679274895.36,24839.11229575434,0.0,1.0,1.0
6711.552008986473,678519015.846,24811.47197479068,1.0,1.0,1.0
6864.480006694794,679429488.635,24844.765323334374,0.0,1.0,1.0
7017.408004403114,678695717.468,24817.933440482528,1.0,1.0,1.0
7170.336002111435,679518006.574,24848.002167566403,0.0,1.0,1.0
7323.263999819756,678749264.427,24819.891497429402,1.0,1.0,1.0
7476.191997528076,679595318.03,24850.829223225974,0.0,1.0,1.0
7629.119995236397,678795814.504,24821.593698700013,1.0,1.0,1.0
7782.047992944717,679561738.941,24849.601333356706,0.0,1.0,1.0
7934.975990653038,678814528.535,24822.278016522872,1.0,1.0,1.0
8087.903988361359,679594713.012,24850.807099472917,0.0,1.0,1.0
10586.591984331608,677959584.077,24791.01517795199,1.0,2.0,0.0
10739.519982039928,678987834.425,24828.61531014675,0.0,2.0,0.0
10892.447979748249,678270321.522,24802.377944842938,1.0,2.0,0.0
11045.37597745657,679198944.248,24836.33498392839,0.0,2.0,0.0
11198.304015398026,678466553.842,24809.553591500622,1.0,2.0,0.0
11351.232013106346,679294329.058,24839.82292971158,0.0,2.0,0.0
11504.160010814667,678631440.437,24815.58301593136,1.0,2.0,0.0
11657.088008522987,679456472.184,24845.75203344,0.0,2.0,0.0
11810.016006231308,678664567.606,24816.794380397274,1.0,2.0,0.0
11962.944003939629,679439359.748,24845.12628129994,0.0,2.0,0.0
12115.87200164795,678734005.687,24819.333529574353,1.0,2.0,0.0
12269.664005935192,679430695.615,24844.809459091433,0.0,2.0,0.0
12422.592003643513,678710072.86,24818.458375521896,1.0,2.0,0.0
12575.520001351833,679428363.594,24844.72418384883,0.0,2.0,0.0
12728.447999060154,678606172.398,24814.65903704961,1.0,2.0,0.0
12881.375996768475,679113648.715,24833.215973735336,0.0,2.0,0.0
13034.303994476795,678256173.194,24801.860581533343,1.0,2.0,0.0
13187.231992185116,678890332.821,24825.049959347958,0.0,2.0,0.0
16321.82400226593,677022917.063,24756.763982591463,1.0,3.0,0.0
16475.616006553173,678071452.732,24795.105890125957,0.0,3.0,0.0
16628.544004261494,677414421.029,24771.080146845634,1.0,3.0,0.0
16781.472001969814,678312161.529,24803.907912517923,0.0,3.0,0.0
16934.399999678135,677647751.361,24779.612360178027,1.0,3.0,0.0
17087.327997386456,678461461.478,24809.36737852247,0.0,3.0,0.0
17240.255995094776,677787273.57,24784.71428259674,1.0,3.0,0.0
17393.183992803097,678566694.127,24813.21543120857,0.0,3.0,0.0
17546.111990511417,677866267.647,24787.60286682487,1.0,3.0,0.0
17699.039988219738,678614495.477,24814.96338790276,0.0,3.0,0.0
17851.96798592806,677885152.698,24788.293438352986,1.0,3.0,0.0
18004.89598363638,678702472.206,24818.180441655182,0.0,3.0,0.0
18157.8239813447,677965588.459,24791.234740782565,1.0,3.0,0.0
18311.615985631943,678678392.896,24817.299931144375,0.0,3.0,0.0
18464.543983340263,677921199.083,24789.61155007916,1.0,3.0,0.0
18617.471981048584,678622471.961,24815.255064782257,0.0,3.0,0.0
18770.399978756905,677953764.724,24790.802381095156,1.0,3.0,0.0
18923.327976465225,678724841.061,24818.9984057888,0.0,3.0,0.0
22059.647999703884,677552170.101,24776.117230788255,1.0,4.0,1.0
22212.575997412205,678599047.202,24814.39848930262,0.0,4.0,1.0
22365.503995120525,678008606.095,24792.807770933687,1.0,4.0,1.0
22518.431992828846,678882420.867,24824.760642143352,0.0,4.0,1.0
22671.359990537167,678221330.009,24800.586467340592,1.0,4.0,1.0
22824.287988245487,679007769.701,24829.344285356336,0.0,4.0,1.0
22977.215985953808,678328997.579,24804.523558023775,1.0,4.0,1.0
23130.14398366213,679140309.71,24834.190888976937,0.0,4.0,1.0
23283.07198137045,678414430.59,24807.647595388455,1.0,4.0,1.0
23435.99997907877,679153956.24,24834.689902989423,0.0,4.0,1.0
23588.92797678709,678449262.521,24808.921298055073,1.0,4.0,1.0
23741.856014728546,679216043.872,24836.960267570772,0.0,4.0,1.0
23895.647978782654,678505995.676,24810.995864946275,1.0,4.0,1.0
24048.575976490974,679229105.708,24837.437901019923,0.0,4.0,1.0
24201.50401443243,678519002.259,24811.471477953506,1.0,4.0,1.0
24354.43201214075,679329092.74,24841.094136710264,0.0,4.0,1.0
24507.36000984907,678547807.359,24812.524796894744,1.0,4.0,1.0
24660.288007557392,679343191.817,24841.60969905367,0.0,4.0,1.0
27794.87997740507,677523795.875,24775.0796676592,1.0,5.0,1.0
27948.671981692314,678531320.386,24811.921916122086,0.0,5.0,1.0
28101.599979400635,677935543.766,24790.13609352147,1.0,5.0,1.0
28254.527977108955,678762825.586,24820.387389672087,0.0,5.0,1.0
28407.45601505041,678131059.218,24797.28552639608,1.0,5.0,1.0
28560.384012758732,678896640.337,24825.2806069095,0.0,5.0,1.0
28713.312010467052,678229002.366,24800.867023178,1.0,5.0,1.0
28866.240008175373,679033743.208,24830.294061156226,0.0,5.0,1.0
29019.168005883694,678242757.734,24801.3700170804,1.0,5.0,1.0
29172.096003592014,679050132.531,24830.893371151684,0.0,5.0,1.0
29325.024001300335,678378524.365,24806.334608906865,1.0,5.0,1.0
29477.951999008656,679106765.794,24832.964285282236,0.0,5.0,1.0
29630.879996716976,678404309.576,24807.277499268297,1.0,5.0,1.0
29784.67200100422,679134763.972,24833.988097426878,0.0,5.0,1.0
29937.59999871254,678438174.446,24808.51583931966,1.0,5.0,1.0
30090.52799642086,679216195.09,24836.96579717434,0.0,5.0,1.0
30243.45599412918,678419640.178,24807.838094908206,1.0,5.0,1.0
30396.3839918375,679177968.666,24835.56796774639,0.0,5.0,1.0
33531.84000849724,677325659.017,24767.834377572064,1.0,6.0,1.0
33685.63201278448,678400383.402,24807.13393047524,0.0,6.0,1.0
33838.5600104928,677761960.537,24783.78865841494,1.0,6.0,1.0
33991.48800820112,678637178.121,24815.79282638979,0.0,6.0,1.0
34144.41600590944,677978649.236,24791.712335507156,1.0,6.0,1.0
34297.34400361776,678773365.494,24820.77280353058,0.0,6.0,1.0
34450.272001326084,678045436.698,24794.154559237046,1.0,6.0,1.0
34603.199999034405,678864721.149,24824.11341480431,0.0,6.0,1.0
34756.127996742725,678086213.591,24795.64565191722,1.0,6.0,1.0
34909.055994451046,678889658.804,24825.025312501642,0.0,6.0,1.0
35061.98399215937,678168045.24,24798.637997921385,1.0,6.0,1.0
35214.91198986769,678948705.351,24827.184473426958,0.0,6.0,1.0
35367.83998757601,678233552.003,24801.03339020425,1.0,6.0,1.0
35521.63199186325,678968968.748,24827.925447069614,0.0,6.0,1.0
35674.55998957157,678247480.918,24801.542730216966,1.0,6.0,1.0
35827.48798727989,679019113.955,24829.759111814587,0.0,6.0,1.0
35980.41598498821,678321298.628,24804.242029720943,1.0,6.0,1.0
36133.34398269653,679042175.667,24830.602411718664,0.0,6.0,1.0
39267.93599277735,677141146.285,24761.08728224814,1.0,7.0,1.0
39420.86399048567,678215074.166,24800.357709310752,0.0,7.0,1.0
39574.65599477291,677568389.377,24776.710322658233,1.0,7.0,1.0
39727.58399248123,678409734.535,24807.475874280713,0.0,7.0,1.0
39880.51199018955,677711481.366,24781.942781575344,1.0,7.0,1.0
40033.43998789787,678603790.531,24814.571939083395,0.0,7.0,1.0
40186.36798560619,677895502.746,24788.671909582084,1.0,7.0,1.0
